$100,000 Pyramid (1988);$100000P
High Stakes by Dick Francis (1986);$takes
+K (1996);+K
007 - Licence to Kill (1989);007Licen
1000 Miglia (1992);1000Migl
1000 Miler (1987);1000mile
10Rogue (1984);10Rogue
10th Frame (1987);10thFram
11th Hour, The (1995);11thHour
123-Talk (1993);123Talk
15 Move Hole Puzzle (1994);15move
15 Puzzle, The (1982);15Puzz82
15x15 (1996);15x15
16 (1996);16STR
1830 Railroads & Robber Barons (1995);1830
1869 (1992);1869
1942 The Pacific Air War (1994);1942PAW
1993 (1992);1993
1992tris (1993);1993tris
1994Pool+ (1994);1994Pool
1995Card+ (1994);1995Card
1998 Amerika (1987);1998Amer
First Expedition (1987);1stexp
1st Person Pinball (1989);1stPerso
1 Ton (1996);1Ton
20,000 Leagues Under the Sea (1988);20000
2048x2048 (2016);20482048
21 (1982);21Sim
221B Baker Street (1987);221baker
2400 AD (1988);2400ad
25 (1999);25
2 Fast 4 You (1995);2Fast4U
2x2 (1995);2x2
3-D Body Adventure (1994);3-DBodyA
3-D TableSports (1996);3-DTable
386 Spys (1989);386Spys
3 Card High Low Poker (1986);3chlp
3D Ball (1987);3DBall87
3D Ball Blaster (1992);3DBallBl
3D Baller (1996);3DBaller
3D Bomber (1998);3DBomber
3DCube (1994);3DCube
3-Demon (1983);3Demon
3Detris (1994);3Detris
3D Hamster's Adventure (1996);3dham
3DHero (1997);3DHero
3D Pinball (1992);3DPinba
3D Pitfall (1994);3dpitfal
3D Space Fighter (1998);3DSF
3D Trek (1992);3DTrek
3-D Tic-Tac-Toe (1992);3dttt
3DWorld (1994);3DWorld
3D World Boxing (1992);3DWorldB
3D Xmas Adventure - Santa's Rescue (1996);3DXmas
3-K Trivia (1984);3ktriv
3 Point Basketball (1993);3PointBa
Three Sister's Story (1999);3sis
3 Skulls of the Toltecs (1996);3SKULLS
4-D Boxing (1991);4-DBoxin
40080 (1995);40080
4 Balls Billiards (1993);4BallB
Four Card Solitaire (1989);4cardsol
Four Crystals of Trazere, The (1992);4crysTr
4D Prince of Persia (1994);4DPrince
4D Sports Tennis (1990);4DSports
4-Get-It (1992);4getit
4K Adventure (1995);4KAdvent
4-mok (1995);4mok
4 Queens Computer Casino (1992);4QueensC
4 Soccer Simulators (1988);4SoccerS
Fourth Generation, The (1996);4thgen
4th & Inches (1988);4thInche
Fourth Protocol, The (1985);4thproto
4x4 Off-Road Racing (1988);4x4Off-R
4x4 Team (1988);4x4Team
50 Mission Crush (1984);50miss
5th Fleet, The (1994);5thflet
5X (2000);5X
688 Attack Sub (1989);688Attac
747-400 Precision Simulator (2000);747400
Seven Cities of Gold, The (1985);7CitGold
7 Colors (1991);7colors
7th Guest, The (1993);7thguest
8088 Othello (1985);8088
Eight Queens (1986);8queens
905 (2000);905
Nine Princes in Amber (1987);9amber
9-Hole Miniature Golf (1983);9HoleMG
Nine Lives of Secret Agent Katt, The (1991);9livosak
A-10 Tank Killer (1989);A-10Tank
A-Train (1992);a-train
A2 - The Ultimate Sequel To AUTS - The Ultimate Stress Relief Game (1998);A2TheUlt
A320 Airbus (Edition Europa) (1992);A320EURO
A320 Airbus (Edition USA) (1993);A320USA
AAARGH! (1988);AAARGH!
Avoid the Awful Thing that Vaguely Resembles a Banana!! (1987);AATVRB
Abadia del Crimen, La (1987);abadia
Abadia del Crimen, La (2000);abadia2
Abandoned Places - A Time for Heroes (1992);abanplac
Abaron (1995);Abaron
ABC Fun Keys (1991);ABCFunK
ABC Monday Night Football (1989);ABCMonda
ABC-Talk (1993);ABCTalk
ABC Wide World of Sports Boxing (1991);ABCWideW
Abductor (1996);Abductor
Abmis the Lion (1996);Abmisthe
Abrams Battle Tank (1988);AbramsBa
Absolute Pinball (1996);Absolute
Abuse (1995);Abuse
Abyss of Pandemonium (1998);AbyssofP
Absolute Zero (1995);AbZero
A La Carrera (1991);ACarrera
Accordion (1990);accordi
Across the USA (1991);AccrUSA
ACE 2 (1987);ACE2
Ace (1994);Ace94
ACE Air Combat Emulator (1986);ACEAirCo
Ace of Aces (1987);AceofAce
Aces of the Deep (1994);AcesotD
Aces of the Pacific (1992);AcesotP
Aces Over Europe (1993);AcesOver
Acheton (1987);acheton
Achtung, die Kurve! (1995);Achtungd
Acid Tetris (1998);acidtetr
Ack-Ack Attack! (1995);AckAckA
Ack! Man (1989);AckMan
A Clue's Solution (1993);ACluSol
Acquire (1988);Acquire
Across the Rhine (1995);acrhine
Acrostix (1993);Acrostix
Action SuperCross (1997);acsupxrs
