101 Dalmatians - Escape From DeVil Manor (1997);101Dalma
1942 - The Pacific Air War Gold (1994);1942-The
20,000 Leagues Under The Sea (1995);20k3x
Activision's Atari 2600 Action Pack (1995);2600p1
Activision's Atari 2600 Action Pack 2 (1995);2600p2
Second Conflict (1991);2ndConf
3D Atlas '98 (1997);3DAtlas
3-D Dinosaur Adventure Anniversary Edition (1997);3DDino3x
3D Maze (1991);3DMaze
3DPC (1993);3DPC
3D Thinking Lab (1998);3DThinki
3-D Ultra Pinball (1995);3DUP
3-D Ultra Pinball - Creep Night (1996);3DUPCN
3-D Ultra Pinball - The Lost Continent (1997);3DUPLC
3-D Ultra Minigolf (1997);3DUPMG
Four Footed Friends (1994);4FootFnd
4 Play (1993);4play
9 - The Last Resort (1996);9-TheLas
Nine Worlds (1996);9Worlds
A to Zap! (1995);A2Zap
Amazing Animals Activity Pack (1997);AAAC
Alice's Adventures in Wonderland (1995);AAiW
Awesome Adventures of Victor Vector and Yondo - The Cyberplasm Formula (1995);AAVVCybe
Awesome Adventures of Victor Vector and Yondo - The Last Dinosaur Egg (1993);AAVVDino
Awesome Adventures of Victor Vector and Yondo - The Hypnotic Harp (1993);AAVVHypn
Awesome Adventures of Victor Vector and Yondo - The Vampire's Coffin (1993);AAVVVamp
Abalone (1999);Abalone
Adventures of Batman and Robin, The - Cartoon Maker (1995);abrCM
Ace Ventura (1996);AceVentu
Achtung Spitfire (1997);AchtungS
After Dark 3.2 (1995);adark3
Adventures of Batman and Robin, The - Activity Center (1996);AdvBRAC
Adventures With Oslo - Tools and Gadgets (1994);AdvOslo
Adventures of Pinocchio, The (1996);AdvPinoc
Adventures of Valdo and Marie, The (1997);AdvVald
Aesop's Fables (1994);AesopF
AFL Finals Fever (1996);AFLFinal
Africa Trail (1997);AfricaTr
Age of Sail (1996);AgeofSai
Air Havoc Controller (1994);AirHavoc
Alge-Blaster 3 (1994);Alge-Bla
Alien Arcade (1994);aliarca
Alice - Interactive Museum (1994);Alice-In
Alien Force (1990);AlienFor
Aliens (1993);Aliens3x
AlienTic (1992);AlienTic
Alien Tales (1995);AliTales
Allied General (1995);AlliedGe
Gigglebone Gang, The - Alphabonk Farm (1994);alphbonk
Al Unser, Jr. Arcade Racing (1995);AlUnserJ
Amanda Stories (1991);AmandaSt
Amazing Mazez to Amaze (1997);AmazingM
Amazon Skulls (1993);AmazonSk
3D Pumpkin Puzzles (1998);Amb3DPP
AI v2 (1998);ambAI
Hero's Adventure (1996);ambHA
Kid's Pumpkin Puzzles (1998);AmbKPP
Meteor Mash (1997);ambMash
Mission - Caduceus (1997);ambMC
Mystery Egg (1999);AmbME
Monster in the Park (1999);AmbMitP
Night Before Christmas (1999);ambNBC
Off the Tracks (1998);AmbOtT
Pharoah's Curse (1998);ambPC
Reindeer Mazes (1997);AmbRein
Robin and Marian (1997);ambRM
Space Doubt (1996);ambSD
Secret of Easter Island, The (1996);ambSEI
Shark! (1999);ambShrk
Vampire (1996);ambVamp
Valentine Puzzles '98 (1998);AmbVP
Will, The (1999);ambWill
American Civil War - From Sumter to Appomattox (1996);Ameri3x
American Girls Premiere, The (1997);AmGirl
Anastasia - Adventures with Pooka and Bartok! (1999);Anastasi
Animation Hangman (1996);AniHang
AnnaTommy (1994);AnnaTomm
Anyone for Cards (1994);Anyonefo
APBA presents - Baseball for Windows (1995);APBABBall
Aquaman - War of the Water Worlds (1996);Aquaman-
Arcade America (1996);ArcadeAm
Arcade Mania (1995);ArcadeMa
Arc of Doom (1994);ArcofDoo
Area D (1997);AreaD
Arthur's Birthday (1994);arthbday
Arthur's Reading Race (1996);ArthursR
ArtRageous! (1995);ArtRageo
AssTroids (1999);Asstroid
Astronomica - The Quest for the Edge of the Universe (1994);Astronom
Amazon Trail, The (1993);AT3x
Atmoids (1990);Atmoids
Atmosfear - The Third Dimension (1995);Atmosfea
Atomic Chill (1996);AtomChll
Atomic (1993);Atomic
Avalon Casinos (1996);AvalonCa
Aviation Adventure (1994);AviAdv
AweSome Animated Monster Maker (1997);AweMM
Baba Yaga and The Magic Geese (1995);BabaYaga
Babes in Toyland (1997);BabesinT
Babylon 5 - Shadow Wars (1997);Babylon5
Backyard Baseball (1997);BackBase
Backstreet Boys - Puzzles in Motion (1999);Backstre
Backyard Soccer (1998);Backyard
Residents, The - Bad Day on the Midway (1995);BadDayM
Bad Mojo (1996);BadMojo
Bad Toys (1995);BadToys
Bailey's Book House (1993);BaileysB
Bally (1999);bally3x
Bow and Arrow (1992);banda
Bang! Bang! (1990);Bang!Ban
Barbie Fashion Designer (1996);BarbieFa
Barbie and Her Magical House (1994);BarbieHo
Barbie Storymaker (1996);BarbStor
Barkanoid (1997);Barkanoi
Barry the Bear (1994);BaryBear
Baseball's Greatest Hits (1994);basebGH
Batman - Partners in Peril (1996);Batman-P
BattleStar (1996);BatStar
Battle Hamster (1995);battham
Battle Beast (1995);BattleBe
